eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
10	-13	Box-224	0	-0.166422	7056.05	0.121473	-0.000674869	-0.1	0.000267083	0.000333691	3.98425	0.102688	3.98425	0	0	3.97613	3.87047	-0.0268235	-3.97462	0.0106155	-0.00674852	-0.999974	0.00267076
10	-13	Box-223	0	-0.689756	6960.05	0.508734	-0.00027414	-0.1	0.000835178	0.000333699	4.3046	0.111261	4.3046	0	0	3.90754	3.80188	-0.0107078	-3.90596	0.0326217	-0.0027413	-0.999961	0.00835146
10	-13	Box-222	0	-0.673867	6864.05	1.80749	0.000508347	-0.1	0.00205277	0.000333766	4.62497	0.120009	4.62497	0	2.25311e-8	3.82809	3.72243	0.0194482	-3.82578	0.0785342	0.00508233	-0.999776	0.0205231
10	-13	Box-221	0	-0.167609	6768.05	4.14213	0.000532849	-0.1	0.00289495	0.00033384	4.94542	0.128898	4.94542	0	0	3.7672	3.66155	0.0200569	-3.76409	0.108968	0.00532618	-0.999567	0.0289369
10	-13	Box-220	0	0.2931	6672.05	7.28965	0.000418117	-0.1	0.00362355	0.000333922	5.26594	0.137955	5.26594	0	6.25727e-8	3.70062	3.59496	0.0154563	-3.69665	0.13395	0.00417839	-0.999335	0.0362114
10	-13	Box-219	0	1.03991	6576.05	10.6389	0.00158513	-0.1	0.00320753	0.00033392	5.58651	0.147204	5.58651	0	0	3.61857	3.51291	0.0572978	-3.61471	0.115943	0.0158412	-0.999361	0.0320548
10	-13	Box-218	0	2.40385	6480.05	13.8416	0.000892879	-0.1	0.00296934	0.000333872	5.90708	0.156604	5.90708	0	0	3.55445	3.44879	0.0317076	-3.55117	0.105446	0.0089245	-0.99952	0.0296791
10	-13	Box-217	0	3.26017	6384.05	17.1808	0.000796648	-0.1	0.00395213	0.000333988	6.22766	0.166195	6.22766	0	0	3.49456	3.3889	0.027804	-3.49012	0.137934	0.00796002	-0.999188	0.0394892
10	-13	Box-216	0	4.09789	6288.05	21.9627	0.000878898	-0.1	0.00651812	0.000334446	6.54845	0.175993	6.54845	0	6.48088e-9	3.40702	3.30136	0.0298653	-3.39804	0.221488	0.00877003	-0.997844	0.0650407
10	-13	Box-215	0	4.70922	6192.05	28.5586	0.000814316	-0.1	0.00738747	0.000334651	6.8696	0.186025	6.8696	0	4.2103e-8	3.34446	3.23881	0.027146	-3.3336	0.246269	0.00812076	-0.997249	0.0736716
10	-13	Box-214	0	5.17199	6096.05	35.8489	-1.19818e-5	-0.1	0.0073902	0.000334653	7.19091	0.196349	7.19091	0	0	3.22592	3.12027	-0.000385266	-3.21543	0.237627	-0.000119492	-0.99728	0.0737011
10	-13	Box-213	0	4.90731	6000.05	43.1535	-0.00027323	-0.1	0.00781463	0.00033477	7.51224	0.206966	7.51224	0	0	3.15927	3.05361	-0.00860101	-3.1479	0.245996	-0.00272399	-0.996957	0.0779085
10	-13	Box-212	0	5.06086	5904.05	50.7896	0.000719953	-0.1	0.00756502	0.000334724	7.83366	0.217867	7.83366	0	0	3.07011	2.96445	0.0220267	-3.05947	0.231449	0.00717883	-0.997125	0.0754327
10	-13	Box-211	0	5.73967	5808.05	58.7091	0.00130833	-0.1	0.00902011	0.000335194	8.15519	0.229427	8.15519	0	0	2.7511	2.64545	0.0358184	-2.73773	0.246946	0.0130293	-0.995872	0.0898288
10	-13	Box-210	0	-1.80346	5712.05	38.6085	0.00383368	-0.1	0.00717528	0.000334931	8.52054	0.243678	8.52054	0	0	2.65932	2.55366	0.101534	-2.64847	0.190035	0.0382105	-0.996707	0.0715165
10	-13	Box-209	0	1.37917	5616.05	46.0221	0.00240645	-0.1	0.00838829	0.000335115	8.84216	0.256617	8.84216	0	0	2.5718	2.46614	0.0616028	-2.5599	0.214732	0.0239734	-0.996214	0.0835653
10	-13	Box-208	0	3.20821	5520.05	54.542	0.00132581	-0.1	0.00979265	0.000335487	9.16398	0.269969	9.16398	0	0	2.50639	2.40073	0.0330395	-2.49203	0.244035	0.0131938	-0.995153	0.0974518
10	-13	Box-207	0	4.24332	5424.05	64.3422	0.000563308	-0.1	0.0105771	0.000335745	9.48619	0.28371	9.48619	0	4.37537e-7	2.43971	2.33405	0.0136538	-2.42386	0.256375	0.00560174	-0.994437	0.105183
10	-13	Box-206	0	4.77572	5328.05	73.5034	5.89967e-5	-0.1	0.00728494	0.00033478	9.80822	0.297828	9.80822	0	0	2.3739	2.26824	0.00139543	-2.36528	0.172309	0.000588407	-0.997357	0.0726568
10	-13	Box-205	0	5.31914	5232.05	81.4133	0.00191292	-0.1	0.00936306	0.000335436	10.1299	0.312296	10.1299	0	0	2.30717	2.20151	0.0438881	-2.2943	0.214816	0.0190425	-0.995465	0.093206
10	-13	Box-204	0	7.00886	5136.05	90.5612	0.00201307	-0.1	0.00942404	0.000335481	10.4519	0.327187	10.4519	0	0	2.24437	2.13871	0.0449225	-2.23154	0.210301	0.0200379	-0.995389	0.0938059
10	-13	Box-203	0	9.21908	5040.05	100.044	0.00272655	-0.1	0.0107629	0.000336015	10.7742	0.342588	10.7742	0	2.88048e-8	2.1626	2.05695	0.0585344	-2.14683	0.23106	0.027099	-0.993893	0.106971
10	-13	Box-202	0	11.6628	4944.05	110.961	0.00184319	-0.1	0.0120304	0.000336451	11.097	0.358453	11.097	0	2.88233e-8	2.10183	1.99617	0.0384084	-2.0838	0.250689	0.0182969	-0.992675	0.119423
10	-13	Box-201	0	13.2874	4848.05	122.945	0.00232604	-0.1	0.013466	0.000337125	11.4202	0.374993	11.4202	0	2.19243e-9	2.02236	1.9167	0.046544	-2.001	0.269455	0.0230462	-0.990792	0.13342
10	-13	Box-200	0	16.0625	4752.05	136.849	0.00250118	-0.1	0.0156942	0.000338246	11.7443	0.392187	11.7443	0	6.30612e-8	1.95307	1.84741	0.0481737	-1.92604	0.302276	0.0247018	-0.987606	0.154997
10	-13	Box-199	0	18.1375	4656.05	151.58	0.00186789	-0.1	0.01595	0.000338373	12.0689	0.410078	12.0689	0	0	1.87972	1.77407	0.0346123	-1.85301	0.295554	0.0184427	-0.98735	0.157482
10	-13	Box-198	0	20.2492	4560.05	167.478	0.00280162	-0.1	0.0176256	0.000339411	12.3941	0.428589	12.3941	0	0	1.81431	1.70865	0.0499545	-1.78306	0.314274	0.0275804	-0.984445	0.173514
10	-13	Box-197	0	21.4785	4464.05	184.472	-0.00168096	-0.1	0.0170609	0.000339049	12.7199	0.447825	12.7199	0	0	1.75028	1.64462	-0.0289455	-1.72197	0.293782	-0.0165679	-0.985621	0.168156
10	-13	Box-196	0	19.7622	4368.05	200.531	-0.00182375	-0.1	0.017001	0.000339072	13.0453	0.467772	13.0453	0	0	1.68643	1.58077	-0.0302566	-1.65904	0.282052	-0.0179766	-0.985695	0.167578
10	-13	Box-195	0	18.6425	4272.05	217.13	-0.000227219	-0.1	0.0166802	0.000338896	13.3709	0.488507	13.3709	0	0	1.61985	1.51419	-0.00362272	-1.59437	0.265944	-0.00224122	-0.98637	0.164528
10	-13	Box-194	0	20.2987	4176.05	235.478	0.00468182	-0.1	0.0223798	0.000342962	13.6979	0.510142	13.6979	0	0	1.55763	1.45197	0.0709271	-1.51495	0.339041	0.0456404	-0.974843	0.218168
10	-13	Box-193	0	24.7342	4080.05	258.47	0.00428663	-0.1	0.0255903	0.000345484	14.0283	0.532979	14.0283	0	0	1.48676	1.3811	0.0615331	-1.43546	0.36734	0.0414923	-0.967948	0.247701
10	-13	Box-192	0	26.29	3984.05	284.376	0.000195635	-0.1	0.0286019	0.000347913	14.361	0.557131	14.361	0	0	1.41469	1.30903	0.00265349	-1.35635	0.387941	0.00188092	-0.961445	0.274991
