eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	-13	Box-224	0	-7249.9	7056.05	-7249.94	0.000229063	-0.1	0.000334127	0.000333578	3.98305	0.0321157	3.98305	0	0	13.0355	12.9298	0.0298582	-13.0349	0.0435531	0.00229062	-0.999992	0.00334124
0	-13	Box-223	0	-7249.84	6960.05	-7249.58	-4.24855e-05	-0.1	0.00040935	0.000333578	4.30329	0.0347164	4.30329	0	0	12.9721	12.8665	-0.00551105	-12.9716	0.0530992	-0.000424851	-0.999992	0.00409346
0	-13	Box-222	0	-7249.94	6864.05	-7249.05	-0.000111943	-0.1	0.000724431	0.000333584	4.62352	0.0373388	4.62352	0	0	12.8281	12.7225	-0.0143593	-12.8274	0.0929254	-0.0011194	-0.999973	0.00724412
0	-13	Box-221	0	-7250.04	6768.05	-7248.28	-6.01306e-06	-0.1	0.000892228	0.000333589	4.94377	0.0399843	4.94377	0	2.66957e-08	12.7457	12.64	-0.000766348	-12.7447	0.113712	-6.01282e-05	-0.99996	0.00892193
0	-13	Box-220	0	-7250.06	6672.05	-7247.48	-8.64851e-06	-0.1	0.000628746	0.000333582	5.26401	0.0426487	5.26401	0	0	12.6437	12.538	-0.00109343	-12.643	0.0794923	-8.64834e-05	-0.99998	0.00628734
0	-13	Box-219	0	-7249.71	6576.05	-7246.66	0.000752904	-0.1	0.0011956	0.000333609	5.58426	0.0453325	5.58426	0	0	12.5426	12.4369	0.0944208	-12.5409	0.149939	0.00752829	-0.9999	0.0119548
0	-13	Box-218	0	-7249.01	6480.05	-7245.53	0.000640713	-0.1	0.00109794	0.000333603	5.90452	0.0480348	5.90452	0	0	12.4791	12.3735	0.079946	-12.4777	0.136997	0.00640662	-0.999919	0.0109785
0	-13	Box-217	0	-7248.38	6384.05	-7244.3	0.000638234	-0.1	0.00176502	0.000333635	6.22479	0.05075	6.22479	0	0	12.4137	12.3081	0.0792119	-12.4111	0.219059	0.00638121	-0.999824	0.0176471
0	-13	Box-216	0	-7247.71	6288.05	-7242.55	0.000697101	-0.1	0.00181132	0.000333639	6.54509	0.0534842	6.54509	0	0	12.3249	12.2193	0.0858978	-12.3222	0.223193	0.0069697	-0.999812	0.0181097
0	-13	Box-215	0	-7246.99	6192.05	-7240.74	0.000918897	-0.1	0.00190954	0.000333651	6.86539	0.056233	6.86539	0	9.10738e-07	12.2608	12.1552	0.112635	-12.2576	0.234065	0.00918691	-0.999776	0.0190912
0	-13	Box-214	0	-7246.05	6096.05	-7238.77	0.00105076	-0.1	0.00221209	0.000333677	7.1857	0.0590009	7.1857	0	1.80507e-08	12.1795	12.0739	0.127935	-12.1754	0.269331	0.0105045	-0.9997	0.0221142
0	-13	Box-213	0	-7245.14	6000.05	-7236.46	0.000773417	-0.1	0.00273888	0.000333712	7.50604	0.0617857	7.50604	0	0	12.1149	12.0092	0.0936572	-12.1095	0.331666	0.00773104	-0.999595	0.0273778
0	-13	Box-212	0	-7244.35	5904.05	-7233.81	0.000902413	-0.1	0.00279173	0.00033372	7.82641	0.0645857	7.82641	0	0	12.047	11.9414	0.108663	-12.0414	0.336163	0.00902025	-0.99957	0.0279053
0	-13	Box-211	0	-7243.34	5808.05	-7231	0.00136228	-0.1	0.00302829	0.000333761	8.1468	0.0674021	8.1468	0	0	11.9724	11.8668	0.163002	-11.9654	0.362345	0.0136153	-0.999449	0.0302662
0	-13	Box-210	0	-7242.12	5712.05	-7227.98	0.00112782	-0.1	0.00319649	0.000333769	8.46722	0.0702362	8.46722	0	0	11.8905	11.7848	0.134021	-11.8832	0.379845	0.0112717	-0.999426	0.0319465
0	-13	Box-209	0	-7241.13	5616.05	-7224.71	0.00100601	-0.1	0.00372006	0.000333825	8.78766	0.0730928	8.78766	0	0	11.8073	11.7016	0.118691	-11.798	0.438873	0.0100528	-0.999258	0.0371712
0	-13	Box-208	0	-7239.96	5520.05	-7220.95	0.00150016	-0.1	0.00409916	0.000333895	9.10816	0.0759681	9.10816	0	0	11.7384	11.6327	0.17592	-11.7267	0.480698	0.0149874	-0.999049	0.0409526
0	-13	Box-207	0	-7238.63	5424.05	-7216.88	0.00113927	-0.1	0.00445585	0.00033393	9.42871	0.078862	9.42871	0	0	11.6639	11.5582	0.132737	-11.6511	0.519155	0.0113807	-0.998944	0.0445115
0	-13	Box-206	0	-7237.65	5328.05	-7212.47	0.000837398	-0.1	0.00477155	0.000333969	9.7493	0.0817765	9.7493	0	0	11.5664	11.4607	0.0967393	-11.5524	0.551226	0.00836417	-0.998829	0.0476596
0	-13	Box-205	0	-7236.75	5232.05	-7207.75	0.00111908	-0.1	0.00505685	0.000334025	10.0699	0.0847144	10.0699	0	0	11.4883	11.3826	0.128386	-11.4724	0.580142	0.0111759	-0.998661	0.0505008
0	-13	Box-204	0	-7235.66	5136.05	-7202.7	0.00122219	-0.1	0.00546003	0.0003341	10.3906	0.0876713	10.3906	0	0	11.4164	11.3108	0.139306	-11.3981	0.62234	0.0122028	-0.998438	0.0545151
0	-13	Box-203	0	-7234.4	5040.05	-7197.51	0.00127499	-0.1	0.00559105	0.000334127	10.7114	0.0906451	10.7114	0	0	11.3535	11.2478	0.144512	-11.3344	0.63371	0.012729	-0.99836	0.0558187
0	-13	Box-202	0	-7233.11	4944.05	-7191.95	0.00152357	-0.1	0.00607881	0.000334233	11.0322	0.0936417	11.0322	0	1.75766e-08	11.2624	11.1567	0.171248	-11.2399	0.68325	0.0152059	-0.998042	0.0606691
0	-13	Box-201	0	-7231.58	4848.05	-7186.04	0.00162399	-0.1	0.00625802	0.000334275	11.3531	0.096658	11.3531	0	9.17607e-08	11.1997	11.094	0.181494	-11.1758	0.699387	0.016206	-0.997917	0.0624498
0	-13	Box-200	0	-7230.09	4752.05	-7179.98	0.00150509	-0.1	0.00640366	0.0003343	11.674	0.0996942	11.674	0	0	11.1279	11.0222	0.167116	-11.1034	0.711021	0.0150184	-0.997843	0.0638985
0	-13	Box-199	0	-7228.56	4656.05	-7173.8	0.00165418	-0.1	0.00648918	0.000334326	11.9949	0.102752	11.9949	0	0	11.0499	10.9443	0.182369	-11.0247	0.715415	0.0165048	-0.997765	0.0647468
0	-13	Box-198	0	-7226.99	4560.05	-7167.67	0.00153611	-0.1	0.00620783	0.000334261	12.3158	0.105831	12.3158	0	0	10.9694	10.8637	0.168151	-10.9465	0.679541	0.0153298	-0.997961	0.0619517
0	-13	Box-197	0	-7225.54	4464.05	-7161.57	0.00147089	-0.1	0.00649927	0.000334322	12.6368	0.109006	12.6368	0	0	10.1917	10.086	0.149569	-10.1686	0.660885	0.0146764	-0.997787	0.0648489
0	-13	Box-196	0	-7224.09	4368.05	-7155.31	0.00151437	-0.1	0.00647509	0.000334319	12.9577	0.112343	12.9577	0	0	10.1228	10.0171	0.152949	-10.0999	0.653977	0.0151103	-0.997796	0.0646082
0	-13	Box-195	0	-7222.73	4272.05	-7149.15	0.0012163	-0.1	0.0061198	0.000334231	13.2786	0.1157	13.2786	0	5.07467e-08	10.0567	9.95105	0.122075	-10.0366	0.614222	0.0121394	-0.998059	0.0610792
