eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	-13	Box-224	0	-0.17053	7056.05	0.0776757	-0.000326025	-0.1	-0.000227337	0.000333681	3.98425	0.102603	3.98425	0	0	4.03299	3.92733	-0.0131439	-4.03157	-0.00916525	-0.00326022	-0.999992	-0.00227335
0	-13	Box-223	0	-0.398967	6960.05	-0.140516	-0.000541833	-0.1	-0.000891684	0.000333701	4.30458	0.111064	4.30458	0	9.17016e-08	3.95728	3.85162	-0.021433	-3.95565	-0.0352719	-0.00541803	-0.999946	-0.00891635
0	-13	Box-222	0	-0.834193	6864.05	-0.467868	-0.000228779	-0.1	0.000425603	0.000333692	4.62493	0.119689	4.62493	0	0	3.88475	3.7791	-0.00888412	-3.88327	0.0165273	-0.00228776	-0.999988	0.00425598
0	-13	Box-221	0	-0.818765	6768.05	0.532826	0.000436728	-0.1	0.00177779	0.000333747	4.9453	0.12845	4.9453	0	3.00786e-07	3.82375	3.71809	0.0166771	-3.82165	0.0679435	0.00436312	-0.999832	0.0177756
0	-13	Box-220	0	0.207345	6672.05	2.35469	0.00153115	-0.1	0.00199184	0.000333802	5.26572	0.137369	5.26572	0	0	3.7523	3.64664	0.0574123	-3.74962	0.0746864	0.0153066	-0.999685	0.0199121
0	-13	Box-219	0	2.1949	6576.05	4.58563	0.0030644	-0.1	0.00247546	0.00033396	5.58624	0.146452	5.58624	0	0	3.68584	3.58018	0.112815	-3.68147	0.0911333	0.0306203	-0.999225	0.0247354
0	-13	Box-218	0	5.24335	6480.05	6.90047	0.00317631	-0.1	0.00239664	0.00033397	5.90685	0.155705	5.90685	0	0	3.62291	3.51725	0.114935	-3.6185	0.0867226	0.031738	-0.999209	0.0239475
0	-13	Box-217	0	8.08681	6384.05	9.46289	0.0029016	-0.1	0.0031411	0.000334016	6.22746	0.165121	6.22746	0	0	3.55876	3.4531	0.103136	-3.55394	0.111637	0.0289937	-0.999087	0.0313835
0	-13	Box-216	0	10.9596	6288.05	12.7311	0.00312029	-0.1	0.00351224	0.000334085	6.54816	0.174693	6.54816	0	0	3.49312	3.38747	0.108826	-3.48768	0.122496	0.0311685	-0.998898	0.0350837
0	-13	Box-215	0	13.7688	6192.05	16.0851	0.00203582	-0.1	0.00275472	0.000333919	6.86887	0.184454	6.86887	0	4.73753e-08	3.42481	3.31915	0.0696489	-3.42118	0.0942439	0.0203462	-0.999414	0.0275311
0	-13	Box-214	0	16.0204	6096.05	18.8919	0.00281788	-0.1	0.0030863	0.000334021	7.18947	0.194425	7.18947	0	0	3.35865	3.25299	0.0945132	-3.35406	0.103516	0.0281542	-0.999128	0.0308361
0	-13	Box-213	0	18.7573	6000.05	22.0206	0.00284097	-0.1	0.00324358	0.000334046	7.51015	0.204581	7.51015	0	0	3.29652	3.19086	0.0935181	-3.29177	0.106771	0.0283833	-0.999072	0.0324057
0	-13	Box-212	0	21.4577	5904.05	25.775	0.00286586	-0.1	0.00452585	0.000334221	7.83092	0.214924	7.83092	0	0	3.23212	3.12646	0.0924461	-3.22577	0.145993	0.0286176	-0.998568	0.0451937
0	-13	Box-211	0	24.0364	5808.05	30.7827	0.00220647	-0.1	0.00594914	0.000891066	8.17495	0.226278	8.17495	0	0	3.15504	3.04938	0.0579706	-3.14886	0.156302	0.0183843	-0.998602	0.0495682
0	-13	Box-210	0	25.842	5712.05	35.687	0.001885	-0.1	0.00489041	0.00033422	8.49583	0.237148	8.49583	0	0	3.06937	2.96371	0.057744	-3.06335	0.14981	0.0188242	-0.998629	0.0488371
0	-13	Box-209	0	27.8135	5616.05	40.7041	0.00263526	-0.1	0.00528737	0.000334355	8.81676	0.24833	8.81676	0	0	2.9887	2.88304	0.0785505	-2.98163	0.157665	0.0262989	-0.998259	0.0527866
0	-13	Box-208	0	29.7331	5520.05	46.2352	0.00109438	-0.1	0.00650101	0.000334508	9.13779	0.25981	9.13779	0	0	2.91392	2.80826	0.0317994	-2.9057	0.1889	0.0109201	-0.997834	0.0648693
0	-13	Box-207	0	29.7348	5424.05	52.7463	-0.00144847	-0.1	0.00732139	0.000334723	9.45898	0.271594	9.45898	0	0	2.84193	2.73627	-0.0410221	-2.83209	0.207348	-0.0144446	-0.997227	0.0730108
0	-13	Box-206	0	28.317	5328.05	60.2329	-0.00171359	-0.1	0.00776754	0.00033486	9.78043	0.283616	9.78043	0	0	2.78037	2.67471	-0.0474599	-2.76961	0.215131	-0.017082	-0.996851	0.0774308
0	-13	Box-205	0	27.5192	5232.05	68.2489	0.000950109	-0.1	0.00895985	0.000335183	10.102	0.296181	10.102	0	0	2.64725	2.54159	0.0250303	-2.63447	0.236045	0.00946276	-0.995965	0.089237
0	-13	Box-204	0	28.2914	5136.05	77.527	0.000829072	-0.1	0.0107179	0.000335767	10.424	0.309148	10.424	0	2.82119e-08	2.58422	2.47856	0.0212845	-2.56727	0.275157	0.00824322	-0.994272	0.106565
0	-13	Box-203	0	29.0463	5040.05	87.6733	0.00127516	-0.1	0.0102711	0.000335663	10.7463	0.322684	10.7463	0	1.51653e-08	2.4332	2.32754	0.0308332	-2.41798	0.248353	0.0126838	-0.994687	0.102165
0	-13	Box-202	0	30.2207	4944.05	97.8609	0.00161764	-0.1	0.0108354	0.000335896	11.0687	0.336865	11.0687	0	0	2.36436	2.2587	0.0379813	-2.34795	0.254409	0.0160802	-0.994052	0.10771
0	-13	Box-201	0	31.9016	4848.05	108.075	0.00185628	-0.1	0.00985207	0.000335589	11.3911	0.351403	11.3911	0	0	2.30433	2.19867	0.0425166	-2.29042	0.225654	0.0184702	-0.995012	0.0980293
0	-13	Box-200	0	32.5608	4752.05	118.533	-0.000255722	-0.1	0.0123136	0.000336479	11.7136	0.366534	11.7136	0	0	2.18286	2.07721	-0.0055337	-2.16395	0.26646	-0.00253804	-0.992501	0.122212
0	-13	Box-199	0	32.6166	4656.05	130.424	0.000955701	-0.1	0.0120115	0.000336398	12.0367	0.38235	12.0367	0	0	2.11232	2.00666	0.0200174	-2.09453	0.251584	0.00948838	-0.992819	0.119252
0	-13	Box-198	0	33.2797	4560.05	141.706	-0.00123549	-0.1	0.0115057	0.000336238	12.3596	0.398677	12.3596	0	0	2.04827	1.94262	-0.0251049	-2.03199	0.233794	-0.012273	-0.993371	0.114294
0	-13	Box-197	0	32.2216	4464.05	153.827	-0.000882691	-0.1	0.0144182	0.000337503	12.6828	0.415535	12.6828	0	0	1.98778	1.88213	-0.0173412	-1.96458	0.283257	-0.00873623	-0.989727	0.142701
0	-13	Box-196	0	30.8464	4368.05	168.731	-0.0023453	-0.1	0.0159063	0.000338364	13.0074	0.433072	13.0074	0	0	1.91428	1.80862	-0.0442587	-1.88712	0.300171	-0.0231556	-0.98732	0.157046
0	-13	Box-195	0	29.219	4272.05	184.766	-0.000805553	-0.1	0.018593	0.000339858	13.3326	0.451365	13.3326	0	0	1.83087	1.72521	-0.0144755	-1.79696	0.334109	-0.00791955	-0.98312	0.182792
0	-13	Box-194	0	28.5872	4176.05	203.181	-0.000491423	-0.1	0.0196623	0.000340569	13.6593	0.470529	13.6593	0	0	1.7596	1.65394	-0.00846922	-1.72341	0.338862	-0.00482185	-0.981201	0.192927
0	-13	Box-193	0	28.7822	4080.05	223.021	0.000276657	-0.1	0.0219173	0.000342151	13.9869	0.490541	13.9869	0	0	1.69218	1.58652	0.00456403	-1.64971	0.361572	0.00270241	-0.97681	0.214091
0	-13	Box-192	0	28.9537	3984.05	245.483	0.000161694	-0.1	0.0259842	0.000345377	14.3165	0.511361	14.3165	0	0	1.61994	1.51428	0.00252977	-1.56454	0.406532	0.00156497	-0.967859	0.25149
0	-13	Box-191	0	29.9982	3888.05	270.398	0.00174409	-0.1	0.0252682	0.00034491	14.6481	0.53348	14.6481	0	0	1.54002	1.43436	0.0259757	-1.48936	0.376333	0.016907	-0.969389	0.244947
0	-13	Box-190	0	32.262	3792.05	293.934	0.00316583	-0.1	0.0236441	0.000343812	14.9787	0.55662	14.9787	0	0	1.47073	1.36507	0.0451728	-1.42689	0.337375	0.0307942	-0.972706	0.229988
0	-13	Box-189	0	34.302	3696.05	318.434	0.000754262	-0.1	0.0272212	0.000346705	15.3102	0.581006	15.3102	0	0	1.39655	1.29089	0.0101344	-1.34362	0.365749	0.00727761	-0.964864	0.262648
0	-13	Box-188	0	34.0546	3600.05	345.704	-0.00380499	-0.1	0.0300199	0.000349599	15.6441	0.606536	15.6441	0	5.59773e-08	1.33459	1.22893	-0.0484517	-1.27337	0.382266	-0.036419	-0.957138	0.287332
0	-13	Box-187	0	31.6461	3504.05	375.134	-0.000504463	-0.1	0.0313007	0.000350745	15.9803	0.633699	15.9803	0	0	1.26886	1.1632	-0.00608737	-1.2067	0.377707	-0.00481424	-0.954331	0.298712
0	-13	Box-186	0	30.6615	3408.05	405.545	-0.00237916	-0.1	0.0301574	0.000349845	16.3175	0.662362	16.3175	0	0	1.20302	1.09736	-0.0272898	-1.14704	0.345917	-0.0227724	-0.957162	0.288656
0	-13	Box-185	0	28.3654	3312.05	435.477	-0.00236458	-0.1	0.0317479	0.000351584	16.6543	0.692368	16.6543	0	0	1.13619	1.03053	-0.025489	-1.07795	0.342228	-0.0225315	-0.952877	0.302519
0	-13	Box-184	0	26.8009	3216.05	467.459	0.000198085	-0.1	0.0353711	0.000355541	16.9935	0.724409	16.9935	0	0	1.07434	0.968686	0.00199658	-1.00794	0.356519	0.00186747	-0.942761	0.333465
0	-13	Box-183	0	27.1253	3120.05	503.119	0.00065124	-0.1	0.039914	0.000361128	17.3368	0.758625	17.3368	0	0	1.01359	0.90793	0.00609708	-0.936226	0.373685	0.00604829	-0.928735	0.370695
0	-13	Box-182	0	28.1303	3024.05	542.424	0.00216541	-0.1	0.0411522	0.000363185	17.685	0.796685	17.685	0	0	0.919053	0.813395	0.0182782	-0.844096	0.347364	0.0200208	-0.924572	0.380482
0	-13	Box-181	0	29.0609	2928.05	584.559	-0.00126064	-0.1	0.0492201	0.000374702	18.0373	0.838076	18.0373	0	0	0.851323	0.745664	-0.00955391	-0.75786	0.37302	-0.0113099	-0.897151	0.441579
0	-13	Box-180	0	26.9971	2832.05	632.689	-0.00177265	-0.1	0.0498673	0.000376455	18.3987	0.884974	18.3987	0	0	0.758658	0.653	-0.0119161	-0.672223	0.33522	-0.0158614	-0.894789	0.446208
0	-13	Box-179	0	23.7707	2736.05	680.945	-0.00888766	-0.1	0.0521665	0.000381932	18.7612	0.937262	18.7612	0	0	0.687283	0.581624	-0.0533481	-0.600248	0.313129	-0.0785556	-0.883872	0.461085
0	-13	Box-178	0	15.1859	2640.05	738.052	-0.00957104	-0.1	0.0715255	0.000417545	19.1404	0.998189	19.1404	0	2.15191e-08	0.615654	0.509996	-0.0470671	-0.491839	0.351774	-0.0776019	-0.81092	0.579988
0	-13	Box-177	0	5.81118	2544.05	813.522	-0.00809724	-0.1	0.0845782	0.000446919	19.5563	1.07468	19.5563	0	0	0.523203	0.417545	-0.0316199	-0.390503	0.330281	-0.0617067	-0.762071	0.644546
0	-13	Box-176	0	-3.78474	2448.05	901.313	-0.0136548	-0.1	0.102479	0.000494403	20.0026	1.1721	20.0026	0	2.83111e-08	0.437764	0.332106	-0.0403299	-0.295354	0.302677	-0.0949335	-0.695241	0.712479
0	-13	Box-175	0	-11.0571	2352.05	998.148	-0.00285686	-0.1	0.0954868	0.000484081	20.4754	1.29707	20.4754	0	0	0.348641	0.242983	-0.00686336	-0.240241	0.229399	-0.0206575	-0.723085	0.69045
0	-13	Box-174	0	-28.0008	2256.05	1109.33	-0.0370351	-0.1	0.153861	0.00069017	21.0081	1.48676	21.0081	0	0	0.248079	0.142421	-0.0444046	-0.119899	0.184478	-0.197834	-0.53418	0.821896
1	-13	Box-224	0	-0.055793	7056.05	0.75842	-6.04702e-05	-0.1	0.000588406	0.000333715	3.98428	0.103267	3.98428	0	5.64837e-08	3.58714	3.48148	-0.00216817	-3.58552	0.0210974	-0.000604691	-0.999983	0.00588396
1	-13	Box-223	0	-0.127455	6960.05	1.2478	-0.000127719	-0.1	0.000487148	0.000333723	4.30464	0.112848	4.30464	0	0	3.47543	3.36977	-0.00443666	-3.47378	0.0169225	-0.00127717	-0.999987	0.00487142
