eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	-13	Box-224	0	-7249.95	7056.05	-7250.06	0.000132554	-0.1	-0.00029255	0.000333575	3.98303	0.02984	3.98303	0	0	14.0391	13.9335	0.0186088	-14.0387	-0.0410702	0.00132553	-0.999995	-0.00292549
0	-13	Box-223	0	-7249.96	6960.05	-7250.16	-0.000215401	-0.1	5.48409e-05	0.000333574	4.30327	0.0322556	4.30327	0	7.54331e-08	13.9645	13.8588	-0.0300786	-13.964	0.007658	-0.002154	-0.999998	0.000548408
0	-13	Box-222	0	-7250.28	6864.05	-7250	-0.000381403	-0.1	0.000272324	0.000333577	4.6235	0.0346835	4.6235	0	0	13.8905	13.7849	-0.0529767	-13.89	0.0378257	-0.00381399	-0.999989	0.00272321
0	-13	Box-221	0	-7250.69	6768.05	-7249.63	-0.000639633	-0.1	0.000580054	0.000333586	4.94374	0.037124	4.94374	0	0	13.8218	13.7161	-0.0884026	-13.8208	0.0801683	-0.00639609	-0.999963	0.00580032
0	-13	Box-220	0	-7251.32	6672.05	-7249.02	-0.000711744	-0.1	0.000713842	0.000333591	5.26398	0.0395768	5.26398	0	1.92804e-08	13.7496	13.644	-0.0978543	-13.7485	0.0981426	-0.00711708	-0.999949	0.00713806
0	-13	Box-219	0	-7252.08	6576.05	-7248.2	-0.000846084	-0.1	0.000974469	0.000333602	5.58423	0.042042	5.58423	0	0	13.6859	13.5803	-0.115781	-13.6844	0.13335	-0.00846014	-0.999917	0.00974388
0	-13	Box-218	0	-7252.96	6480.05	-7247.12	-0.000937364	-0.1	0.00118375	0.000333612	5.9045	0.0445202	5.9045	0	0	13.6137	13.5081	-0.127592	-13.6118	0.161129	-0.00937257	-0.999886	0.0118361
0	-13	Box-217	0	-7253.87	6384.05	-7245.83	-0.000956267	-0.1	0.00156384	0.00033363	6.22477	0.0470109	6.22477	0	1.64625e-08	13.5487	13.443	-0.129536	-13.546	0.211837	-0.00956106	-0.999832	0.0156357
0	-13	Box-216	0	-7255.02	6288.05	-7244.25	-0.00136212	-0.1	0.00169469	0.000333654	6.54507	0.0496194	6.54507	0	0	12.7314	12.6258	-0.17337	-12.728	0.215699	-0.013618	-0.999764	0.0169429
0	-13	Box-215	0	-7256.24	6192.05	-7242.58	-0.00122859	-0.1	0.00174059	0.000333651	6.86538	0.0522832	6.86538	0	0	12.6651	12.5594	-0.155561	-12.6618	0.22039	-0.0122831	-0.999773	0.0174019
0	-13	Box-214	0	-7257.38	6096.05	-7240.84	-0.00113057	-0.1	0.00170467	0.000333646	7.18569	0.0549594	7.18569	0	0	12.6005	12.4948	-0.142422	-12.5974	0.214743	-0.0113033	-0.999791	0.0170431
0	-13	Box-213	0	-7258.52	6000.05	-7239.08	-0.00137463	-0.1	0.00200693	0.000333675	7.506	0.0576479	7.506	0	0	12.5412	12.4355	-0.172338	-12.537	0.251609	-0.0137423	-0.999704	0.0200633
0	-13	Box-212	0	-7259.76	5904.05	-7237.17	-0.00119766	-0.1	0.00208813	0.000333673	7.82632	0.0603537	7.82632	0	0	12.4676	12.3619	-0.14927	-12.4635	0.260254	-0.0119731	-0.99971	0.0208752
0	-13	Box-211	0	-7261	5808.05	-7235.02	-0.00124391	-0.1	0.00256594	0.000333712	8.14666	0.0630725	8.14666	0	0	12.4037	12.298	-0.154222	-12.3982	0.318129	-0.012434	-0.999594	0.0256489
0	-13	Box-210	0	-7262.12	5712.05	-7232.43	-0.00102123	-0.1	0.00270095	0.000333715	8.46703	0.0658093	8.46703	0	0	12.3066	12.2009	-0.125622	-12.301	0.332245	-0.0102081	-0.999583	0.0269983
0	-13	Box-209	0	-7262.86	5616.05	-7229.69	-0.000800863	-0.1	0.0030808	0.000333745	8.78741	0.0685658	8.78741	0	0	12.2389	12.1333	-0.0979639	-12.2323	0.376853	-0.00800457	-0.999494	0.0307924
0	-13	Box-208	0	-7263.69	5520.05	-7226.56	-0.000921732	-0.1	0.00346401	0.000333791	9.10782	0.0713372	9.10782	0	0	12.1751	12.0694	-0.112145	-12.1668	0.421459	-0.00921141	-0.999358	0.0346179
0	-13	Box-207	0	-7264.54	5424.05	-7223.07	-0.000832539	-0.1	0.00387726	0.000333839	9.42828	0.0741291	9.42828	0	0	12.0695	11.9638	-0.1004	-12.0595	0.46758	-0.00831885	-0.999215	0.0387422
